date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1964,Trim 3,aout,15,9,Australia,Dunedin,Australia tour,1964,Australia tour of New Zealand,New Zealand,14 - 9,14,New Zealand,0,5,Carisbrook,23,New Zealand,0
1964,Trim 3,aout,22,3,Australia,Christchurch,Australia tour,1964,Australia tour of New Zealand,New Zealand,18 - 3,18,New Zealand,0,15,Lancaster Park,21,New Zealand,0
1964,Trim 3,aout,29,20,Australia,Wellington,Australia tour,1964,Australia tour of New Zealand,New Zealand,5 - 20,5,New Zealand,0,-15,Athletic Park,25,Australia,0
1965,Trim 1,janvier,9,8,Scotland,Colombes,Five Nations Championship,1965,Five Nations Championship,France,16 - 8,16,France,0,8,Stade Yves-du-Manoir,24,France,0
1965,Trim 1,janvier,16,3,England,Cardiff,Five Nations Championship,1965,Five Nations Championship,Wales,14 - 3,14,Wales,0,11,Cardiff Arms Park,17,Wales,0
1965,Trim 1,janvier,23,3,France,Dublin,Five Nations Championship,1965,Five Nations Championship,Ireland,3 - 3,3,Ireland,0,0,Lansdowne Road,6,Draw,0
1965,Trim 1,fevrier,6,14,Wales,Edinburgh,Five Nations Championship,1965,Five Nations Championship,Scotland,12 - 14,12,Scotland,0,-2,Murrayfield Stadium,26,Wales,0
1965,Trim 1,fevrier,13,0,England,Dublin,Five Nations Championship,1965,Five Nations Championship,Ireland,5 - 0,5,Ireland,0,5,Lansdowne Road,5,Ireland,0
1965,Trim 1,fevrier,27,6,France,London,Five Nations Championship,1965,Five Nations Championship,England,9 - 6,9,England,0,3,Twickenham,15,England,0
1965,Trim 1,fevrier,27,16,Ireland,Edinburgh,Five Nations Championship,1965,Five Nations Championship,Scotland,6 - 16,6,Scotland,0,-10,Murrayfield Stadium,22,Ireland,0
1965,Trim 1,mars,13,8,Ireland,Cardiff,Five Nations Championship,1965,Five Nations Championship,Wales,14 - 8,14,Wales,0,6,National Stadium,22,Wales,0
1965,Trim 1,mars,20,3,Scotland,London,Five Nations Championship,1965,Five Nations Championship,England,3 - 3,3,England,0,0,Twickenham Stadium,6,Draw,0
1965,Trim 1,mars,27,13,Wales,Paris,Five Nations Championship,1965,Five Nations Championship,France,22 - 13,22,France,0,9,Stade Colombes,35,France,0
1965,Trim 2,avril,10,6,South Africa,Dublin,South Africa tour,1965,South Africa rugby union tour of Scotland and Ireland,Ireland,9 - 6,9,Ireland,0,3,Lansdowne Road,15,Ireland,0
1965,Trim 2,avril,17,5,South Africa,Edinburgh,South Africa tour,1965,South Africa rugby union tour of Scotland and Ireland,Scotland,8 - 5,8,Scotland,0,3,Murrayfield,13,Scotland,0
1965,Trim 2,avril,18,0,Italy,Pau,Test Match,,Test Match,France,21 - 0,21,France,0,21,Gare de La Croix du Prince,21,France,0
1965,Trim 2,juin,19,11,South Africa,Sydney,South Africa tour,1965,South Africa tour of Australia and New Zealand,Australia,18 - 11,18,Australia,0,7,Sydney Cricket Ground,29,Australia,0
1965,Trim 2,juin,26,8,South Africa,Brisbane,South Africa tour,1965,South Africa tour of Australia and New Zealand,Australia,12 - 8,12,Australia,0,4,Lang Park,20,Australia,0
